City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
214,Buraydah,26.326,43.975,52.23,51,0,10.02,SA,clear sky
215,Susanville,40.4163,-120.653,51.64,31,0,16.11,US,clear sky
216,Hami,42.8,93.45,25.79,34,17,5.95,CN,few clouds
217,Berlevag,70.8578,29.0864,19.4,68,100,8.3,NO,overcast clouds
218,Raudeberg,61.9875,5.1352,35.87,94,98,8.01,NO,light rain
219,Muravlenko,63.7898,74.523,9.54,92,99,15.9,RU,overcast clouds
220,Juegang,32.3174,121.1855,38.03,37,35,5.57,CN,scattered clouds
221,Santa Rosa,14.3122,121.1114,83.86,71,50,12.57,PH,scattered clouds
222,Terney,45.0503,136.6092,14.77,68,100,17.18,RU,overcast clouds
223,Portland,45.5234,-122.6762,47.62,76,75,8.05,US,broken clouds
224,Zinder,13.8072,8.9881,61.38,14,0,9.86,NE,clear sky
225,Timmins,48.4669,-81.3331,13.82,85,100,18.41,CA,light snow
226,Kavaratti,10.5669,72.642,81.0,69,5,11.41,IN,clear sky
227,Fuerte Olimpo,-21.0415,-57.8738,84.97,37,0,7.34,PY,clear sky
228,Te Anau,-45.4167,167.7167,71.37,34,59,6.04,NZ,broken clouds
229,Acaponeta,22.4964,-105.3594,74.19,50,72,3.13,MX,broken clouds
230,Tura,25.5198,90.2201,52.45,88,3,4.54,IN,clear sky
231,Brae,60.3964,-1.353,40.91,72,14,13.13,GB,few clouds
232,San Patricio,28.017,-97.5169,70.21,93,100,4.99,US,overcast clouds
233,Fortuna,40.5982,-124.1573,51.48,73,40,19.57,US,scattered clouds
234,San Antonio,29.4241,-98.4936,69.15,61,20,10.36,US,few clouds
235,Torbay,47.6666,-52.7314,25.75,71,4,3.0,CA,clear sky
236,Kamloops,50.6665,-120.3192,41.99,60,75,5.75,CA,broken clouds
237,Gaomi,36.3833,119.7528,32.59,41,49,9.48,CN,scattered clouds
238,Alofi,-19.0595,-169.9187,82.26,71,100,14.12,NU,light rain
239,Dubovskoye,47.4092,42.7575,35.82,93,100,6.71,RU,light rain
240,Saint-Philippe,-21.3585,55.7679,83.79,89,100,28.63,RE,moderate rain
241,Kangaatsiaq,68.3065,-53.4641,-4.27,92,100,5.79,GL,overcast clouds
242,Carlagan,14.975,122.0456,77.88,85,100,14.47,PH,overcast clouds
243,Saint-Francois,46.4154,3.9054,50.41,71,100,12.66,FR,overcast clouds
244,Jalu,29.0331,21.5482,59.68,44,100,7.29,LY,overcast clouds
245,Bad Hofgastein,47.1667,13.1,38.84,87,100,1.01,AT,overcast clouds
246,Beloha,-25.1667,45.05,69.39,81,0,7.29,MG,clear sky
247,Ambanja,-13.6833,48.45,75.07,84,100,4.7,MG,overcast clouds
248,Santa Isabel Do Rio Negro,-0.4139,-65.0192,76.42,88,72,2.59,BR,broken clouds
249,Del Rio,29.3627,-100.8968,69.91,45,0,4.61,US,clear sky
250,Pangnirtung,66.1451,-65.7125,-26.34,86,57,6.35,CA,broken clouds
251,Dakar,14.6937,-17.4441,72.48,78,83,19.55,SN,broken clouds
252,East London,-33.0153,27.9116,67.71,76,10,5.64,ZA,clear sky
253,Parsabad,39.6482,47.9174,43.81,87,1,1.79,IR,clear sky
254,Jajce,44.3422,17.2656,37.58,90,3,5.59,BA,clear sky
255,Kuching,1.55,110.3333,79.02,94,40,2.3,MY,scattered clouds
256,Port Elizabeth,-33.918,25.5701,59.09,82,41,7.43,ZA,scattered clouds
257,Saint-Pierre,-21.3393,55.4781,83.88,42,100,5.75,RE,overcast clouds
258,Helong,42.5397,128.9972,10.35,59,42,11.39,CN,scattered clouds
259,Faanui,-16.4833,-151.75,81.36,76,31,18.01,PF,scattered clouds
260,Nouadhibou,20.931,-17.0347,62.55,73,86,25.88,MR,overcast clouds
261,Arlit,18.7369,7.3853,66.76,11,0,8.81,NE,clear sky
262,Deputatskiy,69.3,139.9,-28.93,93,7,4.14,RU,clear sky
263,Mount Isa,-20.7333,139.5,91.17,21,0,11.5,AU,clear sky
264,Conceicao Da Barra,-18.5933,-39.7322,76.68,88,100,6.17,BR,overcast clouds
265,Novoilinsk,51.6829,108.7143,-9.53,100,93,0.98,RU,overcast clouds
266,Korla,41.7597,86.1469,24.53,48,0,2.84,CN,clear sky
267,Verkhnyaya Inta,65.9811,60.3094,14.59,86,95,5.82,RU,overcast clouds
268,Emerald,-23.5333,148.1667,85.33,48,0,8.46,AU,clear sky
269,Kastamonu,41.5,33.6667,35.17,80,100,3.06,TR,overcast clouds
270,Matara,5.9485,80.5353,75.34,87,3,1.39,LK,clear sky
271,Tevaitoa,-16.7833,-151.5,81.12,77,100,18.05,PF,overcast clouds
272,Kourou,5.1552,-52.6478,75.11,93,100,7.83,GF,light rain
273,Yerbogachen,61.2767,108.0108,14.72,93,100,9.89,RU,overcast clouds
274,Fairbanks,64.8378,-147.7164,11.61,69,0,5.75,US,clear sky
275,Vallenar,-28.5708,-70.7581,71.6,57,0,1.74,CL,clear sky
276,Tres Arroyos,-38.3739,-60.2798,63.52,87,100,11.59,AR,overcast clouds
277,La Ronge,55.1001,-105.2842,-19.64,96,100,0.96,CA,overcast clouds
278,Chimbote,-9.0853,-78.5783,70.72,87,79,6.38,PE,broken clouds
279,Taoudenni,22.6783,-3.9836,74.68,18,77,12.1,ML,broken clouds
280,Beruwala,6.4788,79.9828,75.76,89,0,3.11,LK,clear sky
281,Henties Bay,-22.116,14.2845,67.86,87,67,4.81,NA,broken clouds
282,Bondo,3.8146,23.6866,66.29,73,97,1.48,CD,overcast clouds
283,Flin Flon,54.7682,-101.865,-22.04,95,49,4.43,CA,scattered clouds
284,Tsaratanana,-16.7833,47.65,72.86,86,100,3.71,MG,overcast clouds
285,Shakiso,5.75,38.9167,65.53,36,99,2.04,ET,overcast clouds
286,Nangan,6.4726,126.1244,78.76,78,100,7.36,PH,overcast clouds
287,Kadur,13.5533,76.0131,65.53,74,66,3.0,IN,light rain
288,Vila Franca Do Campo,37.7167,-25.4333,57.2,68,86,4.32,PT,overcast clouds
289,Chokurdakh,70.6333,147.9167,-39.46,100,56,3.6,RU,broken clouds
290,Petropavlovsk-Kamchatskiy,53.0452,158.6483,22.78,63,75,2.24,RU,broken clouds
291,Uige,-7.6087,15.0613,65.91,99,100,0.96,AO,moderate rain
292,Sancti Spiritus,21.9297,-79.4425,72.21,79,0,9.66,CU,clear sky
293,Krasnoselkup,65.7,82.4667,9.64,93,90,16.28,RU,overcast clouds
294,Saveh,35.0213,50.3566,45.64,69,100,9.62,IR,overcast clouds
295,Araouane,18.9048,-3.5265,76.01,12,0,10.38,ML,clear sky
296,San Cristobal,7.7669,-72.225,66.38,88,12,3.13,VE,few clouds
297,Burley,42.5357,-113.7928,37.36,68,100,11.01,US,overcast clouds
298,Linqiong,30.4159,103.4609,38.44,96,100,0.92,CN,overcast clouds
299,Sergeyevka,53.88,67.4158,16.03,86,100,14.25,KZ,overcast clouds
300,Minot,48.2325,-101.2963,2.39,71,100,17.27,US,overcast clouds
301,Ler,8.3018,30.1418,78.57,13,100,7.94,SS,overcast clouds
302,Ranghulu,46.65,124.8667,-2.63,96,76,4.74,CN,broken clouds
303,Antibes,43.5624,7.1278,56.44,74,0,5.75,FR,clear sky
304,Kingman,35.1894,-114.053,67.12,13,0,18.41,US,clear sky
305,Bengkulu,-3.8004,102.2655,77.49,83,100,3.83,ID,overcast clouds
306,Sri Aman,1.2376,111.4621,77.13,81,100,1.23,MY,overcast clouds
307,Kaitangata,-46.2817,169.8464,68.16,60,2,9.08,NZ,clear sky
308,Guider,9.9342,13.9486,72.9,17,4,6.8,CM,clear sky
309,Souillac,-20.5167,57.5167,81.36,86,100,25.37,MU,overcast clouds
310,Fort Nelson,58.8053,-122.7002,-7.04,94,98,0.6,CA,overcast clouds
311,Harper,4.375,-7.7169,77.7,87,100,3.85,LR,light rain
312,Kultuk,51.7208,103.6956,12.69,93,94,4.76,RU,overcast clouds
313,Coihaique,-45.5752,-72.0662,48.15,97,100,3.8,CL,overcast clouds
314,Totness,5.8833,-56.3167,75.81,90,39,7.61,SR,scattered clouds
315,Norman Wells,65.282,-126.8329,-16.92,96,7,6.26,CA,clear sky
316,Narsaq,60.9167,-46.05,3.42,79,100,5.7,GL,overcast clouds
317,Sault Sainte Marie,46.5168,-84.3333,30.49,64,100,16.11,CA,overcast clouds
